mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,lNumWaSh,leaf
17965.0,12.751475609314456,2017-11-13 11:25:00,88.66904675960541,315.5,15.0,0.3300546386887064,0.5042723414348032,0.6545166402535658,0.955227003458232,,2
17980.0,10.929836236555245,2017-11-13 11:40:00,108.81118214130402,283.0,15.0,0.15548927249344904,0.30036494276891523,0.5176678445229682,0.971231104412726,,2
17995.0,9.449754246188393,2017-11-13 11:55:00,96.42640614509584,242.5,15.0,0.16623520910304074,0.32774014802835266,0.5072164948453608,0.98588709334299,,2
18010.0,10.75905754535907,2017-11-13 12:10:00,99.59797906875609,269.5,15.0,0.18241951785631216,0.3414031948769176,0.5343228200371057,0.9719465240636708,,2
18025.0,12.239139535725926,2017-11-13 12:25:00,96.66904675960541,294.5,16.0,0.2413789783297456,0.3960228920228973,0.6095076400679117,0.9577109171834344,,2
18040.0,10.872910006156518,2017-11-13 12:40:00,102.56854152679443,286.0,15.0,0.17558961983309526,0.3416233419881989,0.513986013986014,0.9642538796866535,,2
18055.0,11.043688697352696,2017-11-13 12:55:00,94.18376553058624,279.5,15.0,0.22453654248277446,0.3959492973118957,0.5670840787119857,0.9676533909819822,,2
18100.0,10.588278854162894,2017-11-13 13:40:00,96.66904675960541,283.5,15.0,0.1943134393796559,0.3812308654957263,0.5097001763668431,0.9487098654686278,,2
18115.0,10.588278854162894,2017-11-13 13:55:00,101.84061968326569,280.0,15.0,0.1762912636621766,0.33925466546673155,0.5196428571428572,0.9596740196149908,,2
18130.0,10.75905754535907,2017-11-13 14:10:00,94.66904675960541,269.5,15.0,0.20681682946682467,0.3778788850258255,0.5473098330241187,0.9711087569259724,,2
18145.0,12.011434614131026,2017-11-13 14:25:00,103.15432798862456,290.0,16.0,0.20017261295406968,0.3424782168535706,0.5844827586206897,0.9588260046910188,,2
18160.0,12.352991996523375,2017-11-13 14:40:00,108.911687374115,315.0,16.0,0.1832765891525655,0.3337117085725904,0.5492063492063493,0.9519935878289546,,3
18175.0,11.271393618947597,2017-11-13 14:55:00,104.56854152679443,290.0,15.0,0.17928021358700189,0.333277320129683,0.5379310344827586,0.9611077997477884,,2
18190.0,13.434590374099155,2017-11-13 15:10:00,90.66904675960541,318.0,16.0,0.33094030668670243,0.4860924597061034,0.6808176100628931,0.9520314926811776,,2
18205.0,10.588278854162894,2017-11-13 15:25:00,103.15432798862456,289.5,15.0,0.1694676693740944,0.3418877371693403,0.4956822107081175,0.9670271177569848,,2
18220.0,10.303647702169268,2017-11-13 15:40:00,88.42640614509583,265.0,15.0,0.2410666728053241,0.4258844552894059,0.5660377358490566,0.976401872834086,,2
18235.0,11.21446738854887,2017-11-13 15:55:00,103.74011445045471,289.0,15.0,0.17748432629725838,0.3374537519730768,0.5259515570934256,0.9624107223645696,,3
18250.0,13.093032991706805,2017-11-13 16:10:00,105.49747383594513,318.5,16.0,0.2150902493834329,0.35961283164631697,0.598116169544741,0.9660964596621208,,2
18265.0,12.296065766124652,2017-11-13 16:25:00,112.32590091228485,301.0,16.0,0.16682642926386707,0.29978958333387457,0.5564784053156147,0.9655758258630792,,3
18280.0,12.011434614131026,2017-11-13 16:40:00,99.74011445045471,290.5,16.0,0.22105899346780195,0.3669579291565513,0.6024096385542169,0.9591370629176138,,2
18295.0,11.442172310143773,2017-11-13 16:55:00,101.25483322143556,287.5,15.0,0.19243230904528644,0.3523840054173239,0.5460869565217391,0.9658104864050692,,2
18310.0,12.637623148517006,2017-11-13 17:10:00,98.42640614509584,299.0,16.0,0.2373764867506046,0.38784464228650695,0.6120401337792643,0.9635648092164664,,2
18325.0,13.093032991706805,2017-11-13 17:25:00,100.32590091228485,316.0,16.0,0.2440790414672625,0.3945216220135803,0.6186708860759493,0.9594050596460396,,2
18340.0,12.125287074928474,2017-11-13 17:40:00,109.74011445045471,307.5,15.0,0.17321565263043376,0.3208663444810745,0.5398373983739837,0.97078140224595,,2
18355.0,12.979180530909352,2017-11-13 17:55:00,115.63960921764374,325.0,16.0,0.1790159028863783,0.30540770833634096,0.5861538461538461,0.9607382526892724,,3
19085.0,12.637623148517006,2017-11-14 06:05:00,106.911687374115,337.5,16.0,0.2000925338845661,0.3710507153079179,0.5392592592592592,0.9682034849615294,,2
19100.0,11.840655922934847,2017-11-14 06:20:00,122.22539567947388,313.0,16.0,0.13542936317466864,0.2632881408302564,0.5143769968051118,0.9718976383768004,,3
19115.0,12.011434614131026,2017-11-14 06:35:00,111.74011445045471,310.0,16.0,0.1710962778504966,0.31199909490384675,0.5483870967741935,0.9786291817791541,,2
19130.0,11.271393618947597,2017-11-14 06:50:00,104.32590091228485,302.0,16.0,0.1841561656553395,0.34868440142891866,0.5281456953642384,0.9700836313346272,,2
19145.0,11.043688697352696,2017-11-14 07:05:00,105.74011445045471,312.5,16.0,0.1809490001744649,0.3512208854318032,0.5152,0.9716497467046934,,2
19160.0,12.751475609314456,2017-11-14 07:20:00,106.56854152679443,324.5,16.0,0.20359618819237235,0.3590595818936132,0.5670261941448382,0.9698893822969762,,2
19175.0,13.093032991706805,2017-11-14 07:35:00,118.56854152679443,327.5,16.0,0.16089532063006426,0.292740097257478,0.5496183206106869,0.9763052926681968,,2
19190.0,11.21446738854887,2017-11-14 07:50:00,107.15432798862456,301.5,16.0,0.16580707686916069,0.3299724995118941,0.5024875621890548,0.9728219176230892,,3
19205.0,11.499098540542498,2017-11-14 08:05:00,102.32590091228485,292.5,16.0,0.19022516809935724,0.3510464458615899,0.5418803418803418,0.976599141800436,,2
19220.0,12.011434614131026,2017-11-14 08:20:00,105.49747383594513,312.0,16.0,0.19363767857878608,0.3522737942657799,0.5496794871794872,0.9720534305561044,,2
19235.0,12.808401839713175,2017-11-14 08:35:00,104.911687374115,319.5,16.0,0.2089359679405808,0.3647816489454401,0.5727699530516432,0.9776534688716292,,3
19250.0,11.783729692536125,2017-11-14 08:50:00,109.49747383594513,317.0,16.0,0.17241203047951853,0.3322468915623549,0.5189274447949527,0.9748685685050684,,3
19265.0,12.125287074928474,2017-11-14 09:05:00,105.74011445045471,310.0,16.0,0.1876924411747556,0.3484111183483487,0.5387096774193548,0.9791314792053428,,2
19280.0,11.840655922934847,2017-11-14 09:20:00,110.32590091228485,311.0,16.0,0.16983249944485398,0.321081503509724,0.5289389067524116,0.9694681869414812,,3
19295.0,10.417500162966716,2017-11-14 09:35:00,91.01219260692595,284.5,16.0,0.22073627167810805,0.4316114728001494,0.5114235500878734,0.9793614394910644,,2
19310.0,12.694549378915728,2017-11-14 09:50:00,100.08326029777528,316.5,16.0,0.23209121579881198,0.3970641610828324,0.584518167456556,0.9733368752172882,,2
19325.0,11.385246079745047,2017-11-14 10:05:00,109.9827550649643,307.0,16.0,0.15842748159781336,0.3189327006592046,0.496742671009772,0.9779257009499244,,3
19340.0,10.75905754535907,2017-11-14 10:20:00,98.42640614509584,291.5,16.0,0.1893823336917392,0.3781160977475478,0.5008576329331046,0.9751943869545948,,2
19355.0,13.206885452504256,2017-11-14 10:35:00,109.25483322143556,339.5,16.0,0.19686574457365785,0.3574113384104644,0.5508100147275405,0.974675733576964,,3
19370.0,10.645205084561619,2017-11-14 10:50:00,88.18376553058624,294.0,16.0,0.248050989882232,0.4750944040741121,0.5221088435374149,0.9667244375722508,,2
19385.0,13.94692644768768,2017-11-14 11:05:00,103.74011445045471,355.0,17.0,0.2568852091144529,0.4145193147074127,0.6197183098591549,0.9672835366653166,,3
19400.0,11.21446738854887,2017-11-14 11:20:00,94.42640614509584,311.5,16.0,0.2254981197764621,0.4390166519397998,0.5136436597110754,0.9698932718995352,,2
19415.0,10.929836236555245,2017-11-14 11:35:00,93.84061968326569,294.0,16.0,0.2190465966118073,0.4195420156603997,0.5221088435374149,0.9771334866657816,,2
19430.0,13.14995922210553,2017-11-14 11:50:00,123.39696860313416,352.0,16.0,0.1493755292995953,0.29049826692517977,0.5142045454545454,0.9688436376935796,,4
19445.0,11.612951001339948,2017-11-14 12:05:00,100.66904675960541,321.0,16.0,0.20521823570359726,0.3980365780112067,0.5155763239875389,0.9726767612512424,,2
19460.0,11.897582153333573,2017-11-14 12:20:00,125.29646337032318,318.5,16.0,0.1244694102804448,0.25494216832361205,0.4882260596546311,0.970756903708316,,4
19475.0,14.345410060478759,2017-11-14 12:35:00,116.32590091228485,355.5,17.0,0.19176841140168271,0.33013883899902274,0.5808720112517581,0.9687127885472452,,3
19490.0,11.271393618947597,2017-11-14 12:50:00,107.15432798862456,318.0,16.0,0.1679959491710638,0.34803069600259473,0.4827044025157233,0.9711391987312928,,2
19505.0,13.605369065295331,2017-11-14 13:05:00,117.39696860313416,345.5,17.0,0.17871136408922106,0.3150243688409484,0.5672937771345875,0.9683338488216732,,3
19520.0,14.971598594864734,2017-11-14 13:20:00,112.911687374115,370.5,17.0,0.21783333596424487,0.3651911808812343,0.5964912280701754,0.9697551772698928,,3
19535.0,14.402336290877486,2017-11-14 13:35:00,112.66904675960541,356.5,17.0,0.208378412095388,0.3529069069453958,0.5904628330995793,0.9732572316252271,,3
19550.0,12.068360844529753,2017-11-14 13:50:00,112.911687374115,319.0,16.0,0.1636214197740483,0.3144291139031409,0.5203761755485894,0.9890692326555688,,3
19565.0,13.434590374099155,2017-11-14 14:05:00,129.9827550649643,352.5,17.0,0.13276286282761293,0.2621787627267987,0.5063829787234042,0.9695366326241838,,4
19580.0,14.516188751674935,2017-11-14 14:20:00,133.0538227558136,381.0,17.0,0.1455154181437084,0.2704457283548922,0.5380577427821522,0.963958804320153,,3
19595.0,5.692623039872522,2017-11-14 14:35:00,72.76955199241637,130.5,10.0,0.16136872751685752,0.30968557266102803,0.5210727969348659,0.9574127695647944,,3
19610.0,14.060778908485133,2017-11-14 14:50:00,112.08326029777528,340.5,17.0,0.2000591176740667,0.3406006478400985,0.5873715124816447,0.9745440637455808,,3
