time,mins,mean,STD,var,meanFit,T01_A1,T01_A2,T01_A3,T01_A4,T01_A5,T01_B1,T01_B2,T01_B3,T01_B4,T01_B5,T01_C1,T01_C2,T01_C3,T01_C4,T01_C5,T01_D1,T01_D2,T01_D3,T01_D5,T02_A1,T02_A2,T02_A3,T02_A4,T02_A5,T02_B1,T02_B2,T02_B3,T02_B4,T02_B5,T02_C1,T02_C2,T02_C3,T02_C4,T02_C5,T02_D2,T02_D4,T02_D5,T03_A1,T03_A2,T03_A3,T03_A4,T03_A5,T03_B1,T03_B2,T03_B4,T03_B5,T03_C1,T03_C2,T03_C3,T03_C4,T03_C5,T03_D1,T03_D2,T04_A1,T04_A2,T04_A3,T04_A5,T04_B2,T04_B3,T04_B4,T04_B5,T04_C1,T04_C2,T04_C4,T04_C5,T04_D2,T04_D3,T04_D5,T05_A1,T05_A3,T05_A5,T05_B1,T05_B2,T05_B3,T05_B4,T05_B5,T05_C1,T05_C2,T05_C4,T05_C5,T05_D1,T05_D2,T05_D3,T05_D4,T05_D5,T06_A1,T06_A2,T06_A3,T06_A4,T06_A5,T06_B2,T06_B4,T06_B5,T06_C1,T06_C2,T06_C3,T06_C4,T06_D1,T06_D3,T06_D4,T06_D5,T07_A2,T07_A4,T07_A5,T07_B1,T07_B2,T07_B3,T07_B4,T07_B5,T07_C1,T07_C2,T07_C3,T07_C4,T07_C5,T07_D1,T07_D2,T07_D3,T07_D4,T07_D5,T08_A1,T08_A2,T08_A3,T08_A4,T08_B1,T08_B2,T08_B3,T08_B4,T08_B5,T08_C1,T08_C2,T08_C3,T08_C5,T08_D1,T08_D2,T08_D3,T08_D4,T08_D5,T09_A3,T09_A4,T09_A5,T09_B1,T09_B2,T09_B4,T09_B5,T09_C1,T09_C2,T09_C3,T09_C4,T09_C5,T09_D1,T09_D2,T09_D3,T09_D4,T09_D5,T10_A2,T10_A3,T10_A4,T10_A5,T10_B1,T10_B3,T10_B4,T10_B5,T10_C1,T10_C2,T10_D3,T10_D4,T11_A2,T11_A3,T11_A5,T11_B1,T11_B2,T11_B3,T11_B4,T11_B5,T11_C1,T11_C2,T11_C3,T11_C5,T11_D1,T11_D3,T11_D4,T12_B3,T12_B4,T12_B5,T12_C1,T12_C2,T12_C3,T12_C4,T12_D2,T12_D3,T12_D4,T12_D5,T13_A1,T13_B1,T13_B2,T13_B4,T13_C1,T13_C2,T13_C3,T13_C4,T13_C5,T13_D1,T13_D2,T13_D3,T13_D4,T13_D5,T15_A1,T15_A2,T15_A3,T15_A4,T15_A5,T15_B1,T15_B3,T15_B4,T15_C2,T15_C3,T15_C5,T15_D1,T15_D2,T15_D3,T15_D4,T15_D5,T16_A1,T16_A2
2017-11-13 06:05:00,17645,21.48961,6.499946,42.2493,16.753190478646008,15.578296,12.670347,12.254926,16.783016,29.661074,21.684986,24.343683,24.551394,23.138962,27.99939,19.524797,24.842188,23.263588,10.676325,34.64613,19.607882,27.833221,22.391203,24.509851,16.367249,28.399607,,,,,,,,,23.335482,,,,,,,,14.697374,,,,,,,,,10.526498,10.447052,,,,,,15.206038,,,,,,,,,,,,21.355188,,,,,10.123938,12.780899,13.6054735,14.01776,19.743969,32.662296,20.476925,21.07245,,,20.018827,,19.973019,24.416557,22.950647,15.567511,29.723803,19.757067,25.18144,,,13.847588,25.401943,,,10.407741,,,,,,,25.119568,18.540634,,,,,,,,,,24.606924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.679586,11.335291,15.786969,23.577406,,,15.910627,40.312416,18.301344,11.95358,24.690325,,,,,,,,19.793226,,,,,,,,,20.059929,21.013273,16.76295,29.911142,27.01139,27.646952,24.985537,31.69866,18.232689,20.059929,27.805843,35.757168,26.817877,17.455145,21.12496,12.373862,21.407253,20.842667,26.535583,32.604893,18.16088,26.25329,29.123274,23.618551,24.230186,,,,,,,,,,,,,,,,,,
2017-11-13 06:20:00,17660,21.660463,6.4215317,41.23607,16.792344274572127,15.66138,12.961142,12.171842,17.489233,29.702616,21.892698,24.925272,24.46831,23.346672,27.168547,19.067833,24.46831,23.554382,10.593241,34.27225,20.106386,27.750137,23.346672,24.385225,17.542124,28.440119,,,,,,,,,23.902664,,,,,,,,14.498761,,,,,,,,,10.40733,10.248439,,,,,,15.301374,,,,,,,,,,,,20.115826,,,,,10.719463,13.330615,13.926141,14.200999,20.247875,33.212013,19.78978,20.385305,,,20.202066,,19.835588,24.783033,24.233318,15.170605,29.900204,18.875055,25.97525,,,13.053777,25.18144,,,,,,,,,,25.076849,18.540634,,,,,,,,,,25.162289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.226175,11.294072,16.85867,24.36057,10.181152,,16.199162,39.281937,18.878412,,23.989597,,,,,,,,20.235758,,,,,,,,,19.742147,21.489944,17.120455,30.467258,26.614164,26.931944,25.50193,32.77117,18.073797,20.735214,27.567507,35.33373,27.006073,17.408096,20.372177,12.138618,21.360205,21.736595,26.159193,32.74604,17.972683,26.206242,29.829008,23.101013,23.336258,,,,,,,,,,,,,,,,,,
2017-11-13 06:35:00,17675,21.98426,6.9335394,48.073967,16.83158957663478,16.24297,12.9196,11.797962,17.115355,29.57799,21.768072,24.67602,24.385225,22.100409,27.500883,18.40316,24.592936,23.388214,10.343988,34.812298,19.690966,27.625511,22.598913,24.67602,16.569813,28.60217,,,,,,,,,24.064716,,,,,,,,14.220702,,,,,,,,,10.367607,,,,,,,15.635049,,,,,,,,,,,,20.878511,,,,,10.444606,13.422235,14.292619,14.3384285,19.65235,33.074585,19.469112,21.34731,,,21.07245,,21.16407,23.546173,22.813217,16.22902,29.812002,19.139658,26.328056,,,12.789173,25.22554,,,10.143137,,,,,,,24.22244,17.259024,,,,,,,,,,25.076849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.473492,11.046757,16.81745,24.40179,,,16.405258,39.199497,18.507439,12.200895,24.278133,,,,,,,,20.316217,,,,,,,,,18.987417,21.092718,16.28628,31.261711,27.249725,26.375828,26.216938,32.652004,17.994352,20.457155,27.567507,35.568974,27.711807,45.072853,21.313154,11.809276,20.936764,20.889715,27.10017,32.463745,17.878584,27.57066,29.029177,22.959867,24.183138,,,,,,,,,,,,,,,,,,
2017-11-13 06:50:00,17690,21.750025,6.465998,41.809135,16.870926598692506,15.66138,13.335021,12.296468,17.447691,29.121027,22.34966,25.382236,25.46532,22.848166,27.085463,19.19246,24.302141,22.88971,10.510157,34.85384,19.441713,28.78869,23.30513,24.46831,16.205196,27.670372,,,,,,,,,24.753437,,,,,,,,14.101535,,,,,,,,,10.605943,10.40733,,,,,,15.492045,,,,,,,,,,,,21.11685,,,,,10.352986,13.468044,13.559664,14.200999,20.018827,33.99078,19.514921,19.973019,,,21.622166,,21.11826,24.095888,23.82103,15.920315,30.208908,20.68318,26.328056,,,12.745072,25.93115,,,,,,,,,,24.521484,17.259024,,,,,,,,,,25.076849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.885683,11.294072,16.899889,24.319353,,,16.528915,39.735348,18.507439,12.200895,25.102518,,,,,,,,20.356447,,,,,,,,,19.344921,20.695492,17.160177,30.467258,27.289448,27.488062,24.667755,32.13561,17.95463,20.457155,28.123623,34.957336,26.629683,17.078753,20.889715,12.091569,20.983812,21.59545,27.900002,32.793087,17.878584,26.770828,29.358519,22.583475,23.618551,,,,,,,,,,,,,,,,,,
2017-11-13 07:05:00,17705,21.473104,6.669591,44.48344,16.91035555510363,16.159885,13.210395,12.254926,17.156897,29.411821,22.474287,23.263588,25.506863,22.557371,26.794668,18.901665,24.67602,24.011345,10.177819,34.563046,18.901665,28.78869,22.557371,24.717562,16.40776,28.48063,,,,,,,,,24.38882,,,,,,,,14.220702,,,,,,,,,10.208716,10.089548,,,,,,16.350067,,,,,,,,,,,,21.11685,,,,,10.490416,14.1551895,14.200999,13.926141,20.064638,34.86116,19.8814,20.339495,,,20.980831,,20.93502,24.279127,23.591982,15.832114,29.326897,19.051458,26.151653,,,12.039463,25.97525,,,10.275439,,,,,,,24.265162,17.85711,,,,,,,,,,25.33317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.102518,11.541388,17.064766,24.154476,10.222372,,16.570135,40.76583,18.425001,11.95358,24.731544,,,,,,,,20.155298,,,,,,,,,19.503813,20.894104,17.1999,30.62615,27.249725,27.567507,27.051113,33.247845,17.79574,19.980484,27.964733,33.96931,27.57066,17.2199,20.466274,12.562058,20.936764,21.266106,28.088198,32.3226,17.643341,26.112144,29.31147,22.959867,23.853796,,,,,,,,,,,,,,,,,,
2017-11-13 07:20:00,17720,21.435898,6.617844,43.79586,16.94987666072746,16.65839,13.418105,12.670347,17.23998,30.118038,22.640455,25.340694,24.842188,23.595924,26.503874,18.61087,23.845177,23.762093,10.38553,33.89837,20.106386,28.124016,22.432745,24.842188,16.69135,28.561657,,,,,,,,,24.307795,,,,,,,,14.33987,,,,,,,,,10.605943,10.168994,,,,,,15.444378,,,,,,,,,,,,20.401833,,,,,10.307177,13.238996,13.468044,14.01776,19.377493,34.494686,19.469112,20.568544,,,21.16407,,21.438927,24.187508,22.859028,15.876215,30.738115,19.889368,26.195753,,,11.377954,25.401943,,,10.054935,,,,,,,24.991407,16.70366,,,,,,,,,,24.863247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.473492,11.335291,17.39452,25.061298,10.346029,,16.199162,39.15828,18.383781,11.994799,25.762026,,,,,,,,19.913916,,,,,,,,,19.106586,20.774937,17.120455,31.063099,26.931944,28.123623,26.41555,33.32729,17.477959,20.21882,28.20307,33.96931,26.911976,17.266949,20.607422,13.220743,20.795618,21.830692,26.911976,31.899158,17.737438,26.018045,28.793932,22.489378,23.571503,,,,,,,,,,,,,,,,,,
2017-11-13 07:35:00,17735,21.629257,6.458555,41.712933,16.989490130925436,16.367596,12.836515,12.171842,17.156897,28.497894,22.474287,24.509851,26.129993,23.388214,26.877752,19.317085,24.509851,23.055878,10.177819,34.729214,19.940218,27.459341,22.308119,24.966814,16.731865,29.452944,,,,,,,,,23.98369,,,,,,,,14.141257,,,,,,,,,10.288161,10.367607,,,,,,16.207064,,,,,,,,,,,,20.21116,,,,,,13.651283,14.292619,13.513854,18.690348,34.677925,19.240063,20.110447,,,21.393118,,21.576357,24.279127,23.225504,15.479309,29.988405,19.580664,26.328056,,,13.715285,25.049139,,,,,,,,,,23.624355,17.515345,,,,,,,,,,24.863247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.308615,11.046757,17.270863,23.577406,10.181152,,16.776232,39.735348,18.383781,11.0879755,24.319353,,,,,,,,19.994377,,,,,,,,,19.503813,20.65577,16.604061,30.78504,27.051113,26.852499,25.581375,34.83675,17.120455,19.940762,28.242792,34.4398,27.053122,17.549242,20.089884,13.0795965,20.607422,21.689547,26.300339,31.522768,18.16088,25.453459,28.511639,22.583475,24.277237,,,,,,,,,,,,,,,,,,
2017-11-13 07:50:00,17750,21.97165,6.30625,39.76879,17.02919618156236,16.326054,13.335021,12.171842,17.780027,30.699627,23.180504,25.25761,25.299152,23.595924,27.417799,18.943207,24.2606,23.138962,,33.981453,20.064844,27.500883,22.017324,24.88373,16.731865,28.84525,,,,,,,,,24.79395,,,,,,,,14.220702,,,,,,,,,10.764833,,,,,,,14.872364,,,,,,,,,,,,20.878511,,,,,,14.292619,13.376425,13.193186,19.377493,34.265636,19.69816,20.889212,,,22.40093,,20.156256,24.553986,23.95846,14.994203,29.988405,19.712967,26.54856,,,11.86306,26.283955,,,,,,,,,,23.880678,18.07071,,,,,,,,,,25.20501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09178,11.7062645,16.528915,23.82472,10.263591,,16.81745,40.353638,18.136467,12.530649,24.48423,,,,,,,,19.712767,,,,,,,,,19.344921,20.576323,17.160177,29.950865,26.892221,27.01139,25.779987,34.161465,16.882118,19.821594,28.798908,33.49882,27.006073,17.313997,20.18398,12.703205,20.23103,21.830692,26.206242,32.2285,18.06678,24.93592,28.88803,21.924791,24.183138,,,,,,,,,,,,,,,,,,
2017-11-13 08:05:00,17765,21.55884,6.5412493,42.787945,17.068995029007482,15.702922,13.210395,11.631794,17.281523,29.95187,23.138962,25.09144,24.634478,24.177515,27.334715,18.320076,24.385225,23.388214,10.634783,34.68767,20.272554,27.293173,21.643444,24.634478,16.650839,28.926275,,,,,,,,,23.57856,,,,,,,,13.982367,,,,,,,,,10.56622,10.1292715,,,,,,15.539714,,,,,,,,,,,,20.592505,,,,,,14.200999,13.238996,13.009948,19.60654,33.94497,19.743969,19.8814,,,22.080263,,21.393118,23.86684,23.86684,15.347008,29.723803,20.330374,26.416258,,,13.31838,25.88705,,,10.143137,,,,,,,25.461332,18.11343,,,,,,,,,,25.931255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.55593,11.788703,17.683054,24.772764,10.139934,,17.3533,39.982662,19.084509,12.077238,24.937641,,,,,,,,20.9599,,,,,,,,,20.179096,20.337988,16.564337,30.78504,26.336105,26.534718,24.667755,34.479244,16.76295,19.106586,29.235857,34.063408,26.300339,17.361048,19.760542,12.656157,20.795618,22.207085,26.911976,31.42867,17.925634,25.359362,28.511639,21.548399,23.900845,,,,,,,,,,,,,,,,,,
2017-11-13 08:20:00,17780,21.530586,6.5318985,42.6657,17.10888689013576,16.284512,13.293479,12.171842,17.572317,29.494905,23.222046,25.631489,25.548405,24.302141,27.79168,19.02629,26.088451,22.972794,,33.48295,20.147928,27.002378,21.892698,25.382236,16.893917,28.561657,,,,,,,,,23.051891,,,,,,,,14.776819,,,,,,,,,11.0428915,10.089548,,,,,,16.207064,,,,,,,,,,,,20.068157,,,,,10.032319,14.475857,13.651283,13.330615,18.919395,33.53268,19.011015,20.018827,,,22.721598,,20.247875,24.874653,24.141699,14.7737,30.473513,20.198072,26.107553,,,13.36248,24.784534,,,10.054935,,,,,,,24.863247,18.11343,,,,,,,,,,24.22244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.55593,10.923099,16.693792,25.226175,10.304811,,16.899889,40.72461,18.425001,10.799441,25.267395,,,,,,,,19.994377,,,,,,,,,20.099651,20.337988,16.683506,30.586428,26.733332,26.336105,26.058046,34.71758,17.35879,19.583258,28.640018,34.063408,26.770828,16.937607,20.889715,12.609107,20.560373,22.112986,25.923948,30.864084,18.019732,25.171165,27.664757,21.689547,23.430355,,,,,,,,,,,,,,,,,,
