time,mins,mean,STD,var,meanFit,T01_A1,T01_A2,T01_A3,T01_A4,T01_A5,T01_B1,T01_B2,T01_B3,T01_B4,T01_B5,T01_C1,T01_C2,T01_C3,T01_C4,T01_C5,T01_D1,T01_D2,T01_D3,T01_D5,T02_A1,T02_A2,T02_A3,T02_A4,T02_A5,T02_B1,T02_B2,T02_B3,T02_B4,T02_B5,T02_C1,T02_C2,T02_C3,T02_C4,T02_C5,T02_D2,T02_D4,T02_D5,T03_A1,T03_A2,T03_A3,T03_A4,T03_A5,T03_B1,T03_B2,T03_B4,T03_B5,T03_C1,T03_C2,T03_C3,T03_C4,T03_C5,T03_D1,T03_D2,T04_A1,T04_A2,T04_A3,T04_A5,T04_B2,T04_B3,T04_B4,T04_B5,T04_C1,T04_C2,T04_C4,T04_C5,T04_D2,T04_D3,T04_D5,T05_A1,T05_A3,T05_A5,T05_B1,T05_B2,T05_B3,T05_B4,T05_B5,T05_C1,T05_C2,T05_C4,T05_C5,T05_D1,T05_D2,T05_D3,T05_D4,T05_D5,T06_A1,T06_A2,T06_A3,T06_A4,T06_A5,T06_B2,T06_B4,T06_B5,T06_C1,T06_C2,T06_C3,T06_C4,T06_D1,T06_D3,T06_D4,T06_D5,T07_A2,T07_A4,T07_A5,T07_B1,T07_B2,T07_B3,T07_B4,T07_B5,T07_C1,T07_C2,T07_C3,T07_C4,T07_C5,T07_D1,T07_D2,T07_D3,T07_D4,T07_D5,T08_A1,T08_A2,T08_A3,T08_A4,T08_B1,T08_B2,T08_B3,T08_B4,T08_B5,T08_C1,T08_C2,T08_C3,T08_C5,T08_D1,T08_D2,T08_D3,T08_D4,T08_D5,T09_A3,T09_A4,T09_A5,T09_B1,T09_B2,T09_B4,T09_B5,T09_C1,T09_C2,T09_C3,T09_C4,T09_C5,T09_D1,T09_D2,T09_D3,T09_D4,T09_D5,T10_A2,T10_A3,T10_A4,T10_A5,T10_B1,T10_B3,T10_B4,T10_B5,T10_C1,T10_C2,T10_D3,T10_D4,T11_A2,T11_A3,T11_A5,T11_B1,T11_B2,T11_B3,T11_B4,T11_B5,T11_C1,T11_C2,T11_C3,T11_C5,T11_D1,T11_D3,T11_D4,T12_B3,T12_B4,T12_B5,T12_C1,T12_C2,T12_C3,T12_C4,T12_D2,T12_D3,T12_D4,T12_D5,T13_A1,T13_B1,T13_B2,T13_B4,T13_C1,T13_C2,T13_C3,T13_C4,T13_C5,T13_D1,T13_D2,T13_D3,T13_D4,T13_D5,T14_A1,T14_A3,T14_A4,T14_B2,T14_B3,T14_B4,T14_B5,T14_C1,T14_C2,T14_C3,T14_C4,T14_C5,T14_D2,T14_D3,T14_D4,T14_D5,T15_A1,T15_A2,T15_A3,T15_A4,T15_A5,T15_B1,T15_B3,T15_B4,T15_C2,T15_C3,T15_C5,T15_D1,T15_D2,T15_D3,T15_D4,T15_D5,T16_A1,T16_A2,T16_A3,T16_A5,T16_B1,T16_B2,T16_B3,T16_C1,T16_C2,T16_C3,T16_C4,T16_D2,T16_D3,T16_D4,T17_A1,T17_A2,T17_A3,T17_A4,T17_A5,T17_B1,T17_B2,T17_B3,T17_B4,T17_B5,T17_C1,T17_C2,T17_C3,T17_C4,T17_D1,T17_D4,T17_D5,T18_A1,T18_A2,T18_A3,T18_A4,T18_A5,T18_B1,T18_B2,T18_B3,T18_B4,T18_C1,T18_C2,T18_C4,T18_C5,T18_D2,T18_D3,T18_D4,T18_D5
2017-11-13 06:05:00,17645,3.939759,0.5261319,0.27681482,3.939759,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,,,5.0,4.0,4.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,3.0,4.0,,,4.0,4.0,5.0,4.0,3.0,5.0,5.0,,,,,4.0,,4.0,,,,,3.0,4.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 06:20:00,17660,3.9634147,0.5078429,0.25790438,3.9634147,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,3.0,,4.0,4.0,5.0,,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,5.0,5.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 06:35:00,17675,3.987805,0.5090273,0.25910878,3.987805,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,,,5.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,5.0,5.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 06:50:00,17690,3.9146342,0.5018786,0.25188214,3.9146342,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,,,4.0,4.0,4.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,,,,4.0,,4.0,,,,,3.0,4.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 07:05:00,17705,3.9404762,0.5229941,0.27352282,3.9404762,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,5.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,3.0,5.0,4.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 07:20:00,17720,3.952381,0.5126065,0.2627654,3.952381,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 07:35:00,17735,3.9756098,0.4962978,0.24631152,3.9756098,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,4.0,,,,,,,,,,5.0,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 07:50:00,17750,3.975,0.5271131,0.2778482,3.975,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,5.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 08:05:00,17765,3.9879518,0.5059156,0.25595057,3.9879518,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,3.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,5.0,5.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 08:20:00,17780,3.9879518,0.5059155,0.25595054,3.9879518,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,4.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,4.0,,4.0,,,,,3.0,5.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
