tray,ecotype,position,status,outlier
1,Cvi,A1,control,no
1,Cvi,A2,control,no
1,Col-0,A3,control,no
1,Cvi,A4,control,no
1,Col-0,A5,control,no
1,Col-0,B1,control,no
1,Col-0,B3,control,no
1,Cvi,B4,control,no
1,Cvi,B5,control,no
1,Col-0,C1,control,no
1,Cvi,C2,control,no
1,Cvi,C3,control,no
1,Col-0,C4,control,no
1,Cvi,C5,control,no
1,Col-0,D1,control,no
1,Col-0,D2,control,no
1,Cvi,D3,control,no
1,Col-0,D4,control,no
1,Cvi,D5,control,no
2,Cvi,A1,control,no
2,Col-0,A2,control,no
2,Cvi,A3,control,no
2,Cvi,A4,control,no
2,Cvi,A5,control,no
2,Cvi,B1,control,no
2,Col-0,B3,control,no
2,Col-0,B4,control,no
2,Col-0,B5,control,no
2,Cvi,C1,control,no
2,Col-0,C2,control,no
2,Col-0,C3,control,no
2,Col-0,C4,control,no
2,Col-0,C5,control,no
2,Cvi,D1,control,no
2,Cvi,D2,control,no
2,Col-0,D3,control,no
2,Col-0,D4,control,no
2,Cvi,D5,control,no
3,Col-0,A1,control,no
3,Col-0,A2,control,no
3,Cvi,A3,control,no
3,Cvi,A4,control,no
3,Col-0,A5,control,no
3,Col-0,B1,control,no
3,Col-0,B2,control,no
3,Cvi,B3,control,no
3,Cvi,B4,control,no
3,Cvi,B5,control,no
3,Col-0,C1,control,no
3,Cvi,C2,control,no
3,Cvi,C3,control,no
3,Col-0,C4,control,no
3,Col-0,C5,control,no
3,Cvi,D1,control,no
3,Cvi,D2,control,no
3,Col-0,D3,control,no
3,Col-0,D5,control,no
4,Cvi,A1,control,no
4,Col-0,A2,control,no
4,Cvi,A3,control,no
4,Cvi,A4,control,no
4,Cvi,A5,control,no
4,Cvi,B1,control,no
4,Cvi,B2,control,no
4,Col-0,B3,control,no
4,Col-0,B4,control,no
4,Col-0,B5,control,no
4,Cvi,C1,control,no
4,Cvi,C5,control,no
4,Col-0,D1,control,no
4,Col-0,D2,control,no
4,Col-0,D3,control,no
4,Cvi,D4,control,no
4,Col-0,D5,control,no
5,Cvi,A1,control,no
5,Cvi,A2,control,no
5,Col-0,A3,control,no
5,Cvi,A4,control,yes
5,Col-0,A5,control,no
5,Col-0,B1,control,no
5,Col-0,B2,control,no
5,Col-0,B3,control,no
5,Cvi,B5,control,no
5,Col-0,C1,control,no
5,Cvi,C2,control,yes
5,Cvi,C3,control,yes
5,Col-0,C4,control,no
5,Cvi,C5,control,no
5,Col-0,D2,control,no
6,Col-0,A2,treatment,no
6,Cvi,A3,treatment,no
6,Cvi,A5,treatment,no
6,Cvi,B1,treatment,no
6,Cvi,B2,treatment,no
6,Col-0,B3,treatment,no
6,Col-0,B4,treatment,no
6,Col-0,B5,treatment,no
6,Col-0,C2,treatment,no
6,Col-0,C3,treatment,no
6,Col-0,C4,treatment,no
6,Col-0,C5,treatment,no
6,Cvi,D2,treatment,no
6,Col-0,D3,treatment,no
6,Col-0,D4,treatment,no
6,Cvi,D5,treatment,no
7,Col-0,A1,treatment,no
7,Col-0,A2,treatment,no
7,Cvi,A3,treatment,no
7,Cvi,A4,treatment,no
7,Col-0,A5,treatment,no
7,Col-0,B1,treatment,no
7,Col-0,B2,treatment,no
7,Cvi,B3,treatment,no
7,Cvi,B4,treatment,no
7,Cvi,B5,treatment,no
7,Col-0,C1,treatment,no
7,Cvi,C2,treatment,no
7,Cvi,C3,treatment,no
7,Col-0,C4,treatment,no
7,Cvi,D1,treatment,no
7,Cvi,D2,treatment,no
7,Col-0,D3,treatment,no
7,Cvi,D4,treatment,no
7,Col-0,D5,treatment,no
8,Col-0,A2,treatment,no
8,Cvi,A3,treatment,no
8,Cvi,A4,treatment,no
8,Cvi,A5,treatment,no
8,Cvi,B1,treatment,no
8,Cvi,B2,treatment,no
8,Col-0,B3,treatment,no
8,Col-0,B4,treatment,no
8,Col-0,B5,treatment,no
8,Cvi,C1,treatment,no
8,Col-0,C2,treatment,no
8,Cvi,C3,treatment,no
8,Col-0,C4,treatment,no
8,Cvi,C5,treatment,no
8,Col-0,D1,treatment,no
8,Col-0,D2,treatment,no
8,Col-0,D3,treatment,no
8,Cvi,D4,treatment,no
8,Col-0,D5,treatment,no
9,Col-0,A1,treatment,no
9,Cvi,A2,treatment,no
9,Cvi,A3,treatment,no
9,Cvi,A4,treatment,no
9,Cvi,A5,treatment,no
9,Col-0,B1,treatment,no
9,Cvi,B2,treatment,no
9,Cvi,B3,treatment,no
9,Col-0,B4,treatment,no
9,Cvi,B5,treatment,no
9,Col-0,C1,treatment,no
9,Col-0,C2,treatment,no
9,Col-0,C3,treatment,no
9,Cvi,C4,treatment,no
9,Cvi,C5,treatment,no
9,Col-0,D1,treatment,no
9,Cvi,D2,treatment,no
9,Col-0,D3,treatment,no
9,Col-0,D4,treatment,no
9,Col-0,D5,treatment,no
10,Col-0,A1,control,no
10,Cvi,A2,control,no
10,Col-0,A3,control,no
10,Cvi,A4,control,no
10,Col-0,A5,control,no
10,Cvi,B1,control,no
10,Cvi,B4,control,no
10,Cvi,B5,control,no
10,Col-0,C1,control,no
10,Col-0,C2,control,no
10,Col-0,C3,control,no
10,Cvi,C4,control,no
10,Col-0,C5,control,no
10,Cvi,D1,control,no
10,Cvi,D2,control,no
10,Cvi,D3,control,no
10,Col-0,D4,control,no
10,Col-0,D5,control,no
11,Cvi,A1,control,no
11,Cvi,A2,control,no
11,Col-0,A3,control,no
11,Cvi,A4,control,no
11,Cvi,A5,control,no
11,Col-0,B1,control,no
11,Col-0,B2,control,no
11,Col-0,B3,control,no
11,Col-0,B4,control,no
11,Col-0,B5,control,no
11,Cvi,C1,control,no
11,Col-0,C2,control,no
11,Cvi,C3,control,no
11,Cvi,C4,control,no
11,Cvi,C5,control,no
11,Checker,D1,control,no
11,Cvi,D2,control,no
11,Col-0,D3,control,no
11,Cvi,D4,control,no
11,Col-0,D5,control,no
12,Col-0,A1,control,no
12,Col-0,A3,control,no
12,Cvi,A4,control,no
12,Cvi,A5,control,no
12,Cvi,B1,control,no
12,Col-0,B2,control,no
12,Col-0,B3,control,no
12,Col-0,B4,control,no
12,Cvi,B5,control,no
12,Cvi,C1,control,no
12,Cvi,C2,control,no
12,Col-0,C3,control,no
12,Col-0,C4,control,no
12,Col-0,C5,control,no
12,Col-0,D1,control,no
12,Cvi,D3,control,no
12,Col-0,D5,control,no
13,Col-0,A1,control,no
13,Cvi,A2,control,no
13,Cvi,A3,control,no
13,Col-0,A4,control,no
13,Cvi,A5,control,no
13,Col-0,B2,control,no
13,Cvi,B3,control,no
13,Cvi,B4,control,no
13,Cvi,B5,control,no
13,Col-0,C1,control,no
13,Col-0,C2,control,no
13,Col-0,C3,control,no
13,Cvi,C4,control,no
13,Col-0,C5,control,no
13,Gray,D1,control,no
13,Col-0,D2,control,no
13,Col-0,D3,control,no
14,Col-0,A1,treatment,no
14,Cvi,A2,treatment,no
14,Col-0,A3,treatment,no
14,Cvi,A4,treatment,no
14,Col-0,A5,treatment,no
14,Cvi,B1,treatment,no
14,Col-0,B2,treatment,no
14,Cvi,B3,treatment,no
14,Cvi,B4,treatment,no
14,Cvi,B5,treatment,no
14,Col-0,C1,treatment,no
14,Col-0,C2,treatment,no
14,Col-0,C3,treatment,no
14,Cvi,C4,treatment,no
14,Col-0,C5,treatment,no
14,Cvi,D1,treatment,no
14,Cvi,D2,treatment,no
14,Cvi,D3,treatment,no
14,Col-0,D4,treatment,no
14,Col-0,D5,treatment,no
15,Cvi,A1,treatment,no
15,Col-0,A3,treatment,no
15,Cvi,A4,treatment,no
15,Cvi,A5,treatment,no
15,Col-0,B1,treatment,no
15,Col-0,B2,treatment,no
15,Col-0,B3,treatment,no
15,Col-0,B4,treatment,no
15,Col-0,B5,treatment,no
15,Cvi,C1,treatment,no
15,Col-0,C2,treatment,no
15,Cvi,C3,treatment,no
15,Cvi,C4,treatment,no
15,Cvi,C5,treatment,no
15,Checker,D1,treatment,no
15,Cvi,D2,treatment,no
15,Col-0,D3,treatment,no
15,Cvi,D4,treatment,no
15,Col-0,D5,treatment,no
16,Cvi,A2,treatment,no
16,Col-0,A3,treatment,no
16,Cvi,A4,treatment,no
16,Cvi,A5,treatment,no
16,Cvi,B1,treatment,no
16,Col-0,B2,treatment,no
16,Col-0,B3,treatment,no
16,Col-0,B4,treatment,no
