tray,position,light,x,y
1,D1,131.16,24.4,75
1,D2,151.6,24.4,68.4
1,D3,163.34,24.4,61.8
1,D4,168.12,24.4,55.2
1,D5,169.7,24.4,48.6
1,C1,118.62,17.8,75
1,C2,137.08,17.8,68.4
1,C3,147.72,17.8,61.8
1,C4,153.6,17.8,55.2
1,C5,155.76,17.8,48.6
1,B1,99.1,11.2,75
1,B2,113.48,11.2,68.4
1,B3,121.98,11.2,61.8
1,B4,127.68,11.2,55.2
1,B5,128.04,11.2,48.6
1,A1,83.5,4.6,75
1,A2,92.66,4.6,68.4
1,A3,100.02,4.6,61.8
1,A4,102.34,4.6,55.2
1,A5,103.32,4.6,48.6
2,D1,143.38,53.8,75
2,D2,165.18,53.8,68.4
2,D3,175.96,53.8,61.8
2,D4,178.76,53.8,55.2
2,D5,179.14,53.8,48.6
2,C1,143.56,47.2,75
2,C2,165.08,47.2,68.4
2,C3,175.48,47.2,61.8
2,C4,177.72,47.2,55.2
2,C5,177.44,47.2,48.6
2,B1,144.44,40.6,75
2,B2,165.74,40.6,68.4
2,B3,176.1,40.6,61.8
2,B4,177.06,40.6,55.2
2,B5,175.48,40.6,48.6
2,A1,141.4,34,75
2,A2,162.2,34,68.4
2,A3,173.9,34,61.8
2,A4,175.8,34,55.2
2,A5,175.3,34,48.6
3,D1,138.62,83.2,75
3,D2,161.84,83.2,68.4
3,D3,174.74,83.2,61.8
3,D4,179.56,83.2,55.2
3,D5,181.4,83.2,48.6
3,C1,142.86,76.6,75
3,C2,165.68,76.6,68.4
3,C3,177.88,76.6,61.8
3,C4,182.14,76.6,55.2
3,C5,184.02,76.6,48.6
3,B1,145,70,75
3,B2,167,70,68.4
3,B3,179.1,70,61.8
3,B4,183.4,70,55.2
3,B5,186,70,48.6
3,A1,144.5,63.4,75
3,A2,166.34,63.4,68.4
3,A3,177.88,63.4,61.8
3,A4,181.42,63.4,55.2
3,A5,182.7,63.4,48.6
4,D1,133.72,112.6,75
4,D2,155,112.6,68.4
4,D3,168.46,112.6,61.8
4,D4,173.92,112.6,55.2
4,D5,175.78,112.6,48.6
4,C1,134.5,106,75
4,C2,155,106,68.4
4,C3,167.8,106,61.8
4,C4,172.2,106,55.2
4,C5,173.8,106,48.6
4,B1,134.82,99.4,75
4,B2,155.08,99.4,68.4
4,B3,167.32,99.4,61.8
4,B4,170.7,99.4,55.2
4,B5,172.12,99.4,48.6
4,A1,132.84,92.8,75
4,A2,155.84,92.8,68.4
4,A3,168.64,92.8,61.8
4,A4,174.32,92.8,55.2
4,A5,176.32,92.8,48.6
5,D1,134.4,136,75
5,D2,155.6,136,68.4
5,D3,168,136,61.8
5,D4,173.2,136,55.2
5,D5,175.6,136,48.6
5,C1,135.22,131.4,75
5,C2,156.58,131.4,68.4
5,C3,168.92,131.4,61.8
5,C4,174.58,131.4,55.2
5,C5,177.44,131.4,48.6
5,B1,135.18,126.8,75
5,B2,156.36,126.8,68.4
5,B3,169.2,126.8,61.8
